"REF_DATE","GEO","DGUID","Estimates","Consumption category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Clothing and footwear","Dollars","81","millions","6","v1039061608","3.4.4","135.7","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061609","3.4.5","856.7","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061610","3.4.6","195.8","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Health","Dollars","81","millions","6","v1039061611","3.4.7","607.1","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Transport","Dollars","81","millions","6","v1039061612","3.4.8","516.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Communications","Dollars","81","millions","6","v1039061613","3.4.9","85.5","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Recreation and culture","Dollars","81","millions","6","v1039061614","3.4.10","344.0","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Education","Dollars","81","millions","6","v1039061615","3.4.11","382.7","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061616","3.4.12","271.9","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Insurance and financial services","Dollars","81","millions","6","v1039061617","3.4.13","270.2","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061618","3.4.14","245.1","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Net expenditure abroad","Dollars","81","millions","6","v1039061619","3.4.15","-63.6","","","","1"
"2008","Prince Edward Island","2016A000211","Household actual final consumption","Other services","Dollars","81","millions","6","v1039061620","3.4.16","48.3","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Total consumption","Dollars","81","millions","6","v1039061621","4.1.1","23772.0","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Food and non-alcoholic beverages","Dollars","81","millions","6","v1039061622","4.1.2","2194.5","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Alcoholic beverages and tobacco","Dollars","81","millions","6","v1039061623","4.1.3","1193.0","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Clothing and footwear","Dollars","81","millions","6","v1039061624","4.1.4","934.6","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061625","4.1.5","6061.6","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Furnishings, household equipment and other goods and services related to the dwelling and property","Dollars","81","millions","6","v1039061626","4.1.6","1304.1","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Health","Dollars","81","millions","6","v1039061627","4.1.7","955.0","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Transport","Dollars","81","millions","6","v1039061628","4.1.8","3601.2","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Communications","Dollars","81","millions","6","v1039061629","4.1.9","616.9","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Recreation and culture","Dollars","81","millions","6","v1039061630","4.1.10","2033.0","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Education","Dollars","81","millions","6","v1039061631","4.1.11","363.2","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Food, beverage and accommodation services","Dollars","81","millions","6","v1039061632","4.1.12","1587.9","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Insurance and financial services","Dollars","81","millions","6","v1039061633","4.1.13","1845.8","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061634","4.1.14","1353.2","","","","1"
"2008","Nova Scotia","2016A000212","Household final consumption expenditure","Net expenditure abroad","Dollars","81","millions","6","v1039061635","4.1.15","-271.9","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Total consumption","Dollars","81","millions","6","v1039061636","4.2.1","6073.0","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061637","4.2.5","162.3","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Health","Dollars","81","millions","6","v1039061638","4.2.7","3307.2","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Recreation and culture","Dollars","81","millions","6","v1039061639","4.2.10","318.0","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Education","Dollars","81","millions","6","v1039061640","4.2.11","1957.4","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of general governments","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061641","4.2.14","328.1","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Total consumption","Dollars","81","millions","6","v1039061642","4.3.1","597.0","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Housing, water, electricity, gas and other fuels","Dollars","81","millions","6","v1039061643","4.3.5","7.9","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Health","Dollars","81","millions","6","v1039061644","4.3.7","72.1","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Recreation and culture","Dollars","81","millions","6","v1039061645","4.3.10","32.7","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Education","Dollars","81","millions","6","v1039061646","4.3.11","36.9","","","","1"
"2008","Nova Scotia","2016A000212","Individual consumption expenditures of non-profit institutions serving households","Miscellaneous goods and services (including social protection)","Dollars","81","millions","6","v1039061647","4.3.14","113.2","","","","1"
